version,os,downloads,type,created_at
0.09.15,linux,32,tar.gz,1605658724.0
0.09.15,windows,6691,exe,1605658724.0
0.09.15,linux,607,amd64.snap,1605658724.0
0.09.11,linux,2172,AppImage,1604442243.0
0.09.11,mac,6061,dmg,1604442243.0
0.09.11,linux,32,tar.gz,1604442243.0
0.09.11,windows,7558,exe,1604442243.0
0.09.11,linux,605,amd64.snap,1604442243.0
0.09.10,linux,1980,AppImage,1604104630.0
0.09.10,mac,4760,dmg,1604104630.0
0.09.10,linux,17,tar.gz,1604104630.0
0.09.10,windows,7453,exe,1604104630.0
0.09.10,linux,541,amd64.snap,1604104630.0
0.09.06,linux,2562,AppImage,1603200047.0
0.09.06,mac,7005,dmg,1603200047.0
0.09.06,linux,17,tar.gz,1603200047.0
0.09.06,windows,8497,exe,1603200047.0
0.09.06,linux,733,amd64.snap,1603200047.0
0.09.04,linux,2044,AppImage,1602591529.0
0.09.04,mac,4901,dmg,1602591529.0
0.09.04,linux,40,tar.gz,1602591529.0
0.09.04,windows,6053,exe,1602591529.0
0.09.04,linux,590,amd64.snap,1602591529.0
0.09.03,linux,1939,AppImage,1601920153.0
0.09.03,mac,4131,dmg,1601920153.0
0.09.03,linux,40,tar.gz,1601920153.0
0.09.03,windows,5167,exe,1601920153.0
0.09.03,linux,629,amd64.snap,1601920153.0
0.09.02,linux,2076,AppImage,1601487218.0
0.09.02,mac,4062,dmg,1601487218.0
0.09.02,linux,39,tar.gz,1601487218.0
0.09.02,windows,4748,exe,1601487218.0
0.09.02,linux,593,amd64.snap,1601487218.0
0.09.01,linux,1897,AppImage,1600967260.0
0.09.01,mac,4042,dmg,1600967260.0
0.09.01,linux,20,tar.gz,1600967260.0
0.09.01,windows,4910,exe,1600967260.0
0.09.01,linux,599,amd64.snap,1600967260.0
0.08.15,linux,2040,AppImage,1600111550.0
0.08.15,mac,4109,dmg,1600111550.0
0.08.15,windows,4850,exe,1600111550.0
0.08.15,linux,805,amd64.snap,1600111550.0
0.08.14,linux,2080,AppImage,1599766772.0
0.08.14,mac,4579,dmg,1599766772.0
0.08.14,windows,5878,exe,1599766772.0
0.08.14,linux,661,amd64.snap,1599766772.0
0.08.12,linux,1985,AppImage,1599499426.0
0.08.12,mac,4555,dmg,1599499426.0
0.08.12,windows,5452,exe,1599499426.0
0.08.12,linux,540,amd64.snap,1599499426.0
0.08.09,linux,1992,AppImage,1598891801.0
0.08.09,mac,4880,dmg,1598891801.0
0.08.09,windows,6199,exe,1598891801.0
0.08.09,linux,660,amd64.snap,1598891801.0
0.08.04,linux,3675,AppImage,1597243912.0
0.08.04,mac,8262,dmg,1597243912.0
0.08.04,windows,12432,exe,1597243912.0
0.08.04,linux,1368,amd64.snap,1597243912.0
0.08.02,linux,3435,AppImage,1596128683.0
0.08.02,mac,6199,dmg,1596128683.0
0.08.02,windows,9603,exe,1596128683.0
0.08.02,linux,968,amd64.snap,1596128683.0
0.08.01,linux,1804,AppImage,1595355257.0
0.08.01,mac,5064,dmg,1595355257.0
0.08.01,windows,7185,exe,1595355257.0
0.08.01,linux,590,amd64.snap,1595355257.0
0.08.0,linux,2077,AppImage,1594693447.0
0.08.0,mac,5041,dmg,1594693447.0
0.08.0,windows,6789,exe,1594693447.0
0.08.0,linux,665,amd64.snap,1594693447.0
0.07.06,linux,2037,AppImage,1593742517.0
0.07.06,mac,5615,dmg,1593742517.0
0.07.06,windows,7333,exe,1593742517.0
0.07.06,linux,692,amd64.snap,1593742517.0
0.07.04,linux,1527,AppImage,1592938708.0
0.07.04,mac,3709,dmg,1592938708.0
0.07.04,windows,5176,exe,1592938708.0
0.07.04,linux,526,amd64.snap,1592938708.0
0.07.03,linux,2855,AppImage,1592167757.0
0.07.03,mac,8585,dmg,1592167757.0
